timestamp,lin_acc_x,lin_acc_y,lin_acc_z
1523277732862,-0.42890793,-0.2360363,-0.107072115
1523277732874,0.13261783,3.9435778,0.14941955
1523277732881,0.3473904,5.064885,2.490306
1523277732896,-2.023558,6.111947,2.8905742
1523277732921,-4.223978,5.8393464,2.7686646
1523277732968,-4.3215923,2.5949335,1.3173285
1523277732984,-1.7095793,-1.9852629,-0.84433794
1523277733002,1.4521309,0.8504181,1.6918373
1523277733026,0.7549975,3.5065684,1.8893548
1523277733052,-0.26231086,3.0151262,1.8787942
1523277733076,-0.98567593,-2.8595295,1.2835295
1523277733102,0.70021415,-4.659833,3.633346
1523277733127,2.2596235,-3.6647854,0.9834855
1523277733153,2.6346176,-5.4090805,-1.1673948
1523277733179,0.57491803,-6.894167,1.1017689
1523277733204,3.8015718,-3.959916,0.54491115
1523277733244,1.7685618,-2.548068,1.3897668
1523277733255,1.0742047,-2.4737062,-0.45877078
1523277733283,-0.6730858,-1.510809,-0.10183889
1523277733314,-0.4124632,-0.7387905,0.067182034
1523277733330,1.2660224,-0.6082115,0.11059797
1523277733377,1.6190302,0.7023258,-0.26461744
1523277734069,-1.4232625,3.5535197,-0.17768675
1523277734087,-1.7245498,2.3448334,-0.55239654
1523277734099,-0.2988026,1.8205032,1.1534722
1523277734116,1.8656194,1.1455555,1.6153274
1523277734124,3.0791435,0.051820755,1.3755922
1523277734165,1.9551806,-2.177411,2.2510533
1523277734184,-0.2786348,-4.771469,-1.9133987
1523277734196,-3.685734,-7.32491,1.5357658
1523277734217,-3.854338,-7.649478,2.0907853
1523277734232,-2.2926273,-8.786755,2.6348238
1523277734257,1.7035398,-11.48269,0.66576123
1523277734281,-1.0772483,-8.292809,1.7627461
1523277734309,-5.8530197,-4.4507685,1.8068147
1523277734334,-4.686783,-1.6491752,2.7169824
1523277734360,-2.9447782,2.4548354,4.560112
1523277734387,-4.312248,6.037219,5.116067
1523277734411,-5.1402407,6.6656833,3.8779895
1523277734437,-1.3870239,7.6198916,0.11243689
1523277734462,-0.18306708,5.4009256,0.3544345
1523277734497,-0.3802457,5.7609644,0.35050684
1523277734513,-2.895522,5.4526224,-1.253277
1523277734538,-1.060632,-5.0647,-1.4373252
1523277734563,-0.18534505,-5.058426,-1.9169724
1523277734587,0.23828721,3.7578707,-1.3964553
1523277734612,1.5229061,2.194817,6.5363197
1523277734639,0.6405904,-8.056781,-0.5470544
1523277734664,-1.3341925,-5.7110224,3.1983886
1523277734689,2.9175696,0.52240944,-0.63198805
1523277734714,0.07767391,-8.671065,-1.8664618
1523277734739,-3.1057277,-3.8856764,1.5811414
1523277734766,1.7591536,-3.369111,-0.31690702
1523277734804,1.2201434,-2.7122698,-0.26835513
1523277734825,-1.1665163,0.927474,0.57473874
1523277734844,-1.1470658,2.9659162,0.8909461
1523277734872,0.0966202,1.3335857,-0.6640873
1523277734898,0.7208494,3.8344483,0.60796416
1523277734922,-0.39106715,6.9948273,0.5443351
1523277734946,-2.3320622,6.872237,0.99091196
1523277734970,-0.8709411,1.1955976,-1.7395828
1523277734997,4.3668594,-5.321267,1.0553949
1523277735021,0.8139286,3.950759,-0.2119503
1523277735046,-0.48171067,2.090908,2.904614
1523277735078,0.3690207,-2.1551828,-3.0026093
1523277735096,2.6156871,-5.379447,-2.5312324
1523277735121,-1.0784395,-5.334656,0.9686054
1523277735144,-0.87532866,-6.8741446,-2.4016428
1523277735169,0.22008276,-7.5800705,-4.2733984
1523277735193,0.8825183,-4.7935534,-3.1671057
1523277735218,0.6252465,-2.6735563,-3.0667381
1523277735241,1.8062551,-1.3324757,-1.2953393
1523277735267,0.6197746,1.601531,-0.108170986
1523277735291,-0.5096806,3.8962235,1.7213358
1523277735316,-1.0564762,6.325033,2.4854903
1523277735340,-1.9344107,9.775282,0.29123878
1523277739074,-2.134106,9.746264,0.89892125
1523277739103,-1.3003484,9.087275,1.4421529
1523277739124,0.0618248,7.143054,1.8256629
1523277739171,-0.42120528,3.6265707,-1.0366054
1523277739200,-0.55421567,1.2210045,1.7321398
1523277739239,0.003628254,3.1080403,1.4289135
1523277739244,-0.9825697,3.8989758,1.4677838
1523277739251,-0.39349055,3.1817465,1.0332187
1523277739275,0.54221773,2.0453124,0.9540726
1523277739279,1.3838329,1.3537045,1.5381494
1523277739287,2.4009862,0.98235226,2.461156
1523277739297,3.5666957,1.453125,1.8914983
1523277739305,4.0864606,1.5066352,1.9848309
1523277739325,2.8755832,0.48800087,2.7539635
1523277739334,0.97442484,0.554924,4.6756926
1523277739344,-0.08049798,-0.5223427,2.4734352
1523277739357,-1.5617219,-3.0196161,2.7467434
1523277739378,-2.086193,-5.263117,7.5510645
1523277739394,-1.125587,-6.250375,5.4913483
1523277739412,0.20458508,-6.6071405,4.4139395
1523277739443,1.3312218,-7.254613,5.2587337
1523277739453,-1.346616,-7.9809675,4.477262
1523277739481,-1.8653078,-8.752456,2.4155366
1523277739509,-0.46524048,-5.5014534,3.1977386
1523277739536,-1.1139164,-0.5725069,3.7283967
1523277739551,-1.5019383,-0.30497646,4.212213
1523277739581,-3.5186234,-0.036699295,3.7705808
1523277739605,-3.9402647,0.56344986,2.2917342
1523277739620,-2.5080378,2.3698883,2.0024912
1523277739646,-0.82787,2.954813,2.7307076
1523277739675,-0.22857475,1.2992711,1.9371183
1523277739702,0.6298592,1.4533081,1.2439954
1523277739717,1.2696276,1.8871121,0.41783476
1523277739746,4.0140224,0.24184799,0.623585
1523277739761,5.1777306,0.18039513,0.60373235
