timestamp,acc_x,acc_y,acc_z
1523256456806,-1.2144588,-11.957242,1.0360907
1523256456814,1.8752584,-13.46918,0.10474633
1523256456823,2.8832173,-11.343728,-0.29149407
1523256456832,1.7723078,-9.544485,-0.6171055
1523256456846,1.4622587,-8.959103,-0.34476504
1523256456848,0.5351041,-7.5985975,-0.5506664
1523256456855,0.50876784,-7.469909,-0.8074445
1523256456863,0.62967503,-7.3567834,-1.027711
1523256456870,0.80924016,-6.903082,-0.4914099
1523256456891,1.4981717,-6.5762734,-0.0796072
1523256456915,2.3570917,-7.313688,-0.29867667
1523256456941,3.515885,-8.096592,-0.8900445
1523256456968,3.5847185,-8.4347725,-0.96187055
1523256456994,3.5673606,-11.143812,-2.0518308
1523256457022,1.9782091,-13.331513,-3.269881
1523256457049,0.41838676,-14.42746,-1.0767922
1523256457073,-1.3054385,-14.5759,-0.3286042
1523256457098,-3.6128504,-14.990695,-4.305373
1523256457124,-1.6436194,-13.294403,-3.719991
1523256457149,2.3199813,-13.243526,-1.9847932
1523256457174,2.9831753,-14.240113,-0.6099229
1523256457201,0.5955577,-13.100473,-2.2870612
1523256457222,-0.7338228,-11.171944,-1.9829975
1523256457247,0.8283938,-9.968259,-3.394978
1523256457273,1.5981296,-9.126099,-2.585738
1523256457300,1.0989386,-8.988432,-0.24001873
1523256457324,1.8495208,-8.236652,0.41718966
1523256457349,2.4384944,-5.3265004,-1.3676877
1523256457377,2.0470424,-4.192846,-1.0953473
1523256457401,1.8974048,-3.3267434,-1.3395559
1523256457426,0.64463884,-2.7575219,-1.8375498
1523256457452,2.5623944,-1.4760253,-2.8526914
1523256457479,5.309142,-2.794632,-2.7395654
1523256457506,6.692991,-4.6351743,-2.7497406
1523256457532,3.6487634,-2.2505496,-2.7509377
1523256457558,4.6621094,-14.353838,-3.2531216
1523256457583,2.6437972,-19.6133,-2.9861681
1523256457608,4.9182887,-12.976573,-2.8245595
1523256457633,1.7262194,-6.9623384,-0.88286185
1523256457659,-0.02633622,-10.011354,-0.41359833
1523256457686,0.050876785,-14.916475,-0.6500258
1523256457711,2.959832,-13.101071,-0.15981296
1523256457735,3.8498764,-9.440337,-0.34117374
1523256457762,2.697667,-7.993641,-0.46627077
1523256457778,2.0841527,-8.607754,-0.7673417
1523256457803,1.3377602,-8.924387,-1.2144588
1523256457826,0.6853402,-7.5429325,-1.2395979
1523256457852,0.7254431,-6.2704144,-1.1941081
1523256457877,1.3192052,-5.934029,-0.023942016
1523256457903,2.4528596,-6.384139,-0.11791443
1523256457919,3.1370027,-7.193379,-0.7697359
1523256457944,4.136582,-8.839393,-0.7667431
1523256457969,2.4594438,-8.761581,-0.59855044
1523256457993,1.5807717,-10.54167,-2.5061307
1523256458023,2.9879637,-13.637373,-3.5565867
1523256458044,2.0326772,-14.809335,-0.96067345
1523256458070,0.0676362,-14.423868,-1.6226702
1523256458094,-3.3010056,-14.159907,-3.9486372
1523256458120,-3.2782607,-13.876195,-5.0822916
1523256458145,1.2838906,-13.7086,-2.15538
1523256458170,3.5152867,-13.859435,-0.51834464
1523256458197,2.2703018,-12.045827,-2.979584
1523256458224,-0.10474633,-10.545261,-3.3357215
1523256458249,-0.09995792,-9.066842,-5.251083
1523256458274,0.44472298,-8.845378,0.6194997
1523256458298,1.7489643,-8.985439,-0.1604115
1523256458325,2.4797945,-6.427833,-0.87927055
1523256458349,3.8043866,-5.1762643,-0.51116204
1523256458371,2.710835,-2.267309,-1.6585833
1523256458396,1.3281834,-1.6729485,-2.2577322
1523256458422,2.705448,-0.7745243,-2.8125885
1523256458447,5.928642,-2.991555,-2.6725276
1523256458472,6.045958,-4.717176,-3.0663738
1523256458497,4.984728,-3.6607344,-3.1878796
1523256458525,3.5817258,-10.720636,-6.83365
1523256458552,5.0721164,-19.6133,-1.9662381
1523256458574,3.8349125,-11.9614315,-2.3529017
1523256458600,0.17836803,-6.154894,-2.8281507
1523256458624,-1.0079589,-10.754155,-0.908001
1523256458649,0.073023155,-15.764023,-0.16280572
1523256458674,2.8820202,-14.378378,-0.15502456
1523256458700,4.332308,-10.887632,0.0700304
1523256458727,2.8000188,-7.9266033,-0.46028528
1523256458751,1.4730326,-7.889493,-0.6775591
1523256458777,0.93613285,-7.3603745,-1.4095862
1523256458802,0.75118077,-5.921459,-1.6214731
1523256458831,1.4077905,-5.7670336,-0.44472298
1523256458853,1.9949685,-6.1806316,-0.53689975
1523256458880,3.2148144,-7.1766195,-0.52073884
1523256458904,4.44723,-7.429208,-0.52373165
1523256458930,4.211401,-8.953716,-0.6123171
1523256458958,2.6150668,-11.039664,-1.3982137
1523256458985,2.9167361,-12.563574,-3.4638114
1523256459012,1.3760674,-15.921441,-2.1589713
1523256459041,-0.17238252,-16.976686,-1.4634558
1523256459084,-2.8748376,-15.105019,-3.8391025
1523256459107,-1.5478514,-13.936049,-2.9622262
1523256459127,2.9113493,-14.664485,-1.3227965
1523256459162,2.6737247,-14.333487,-2.9029696
1523256459174,0.2885013,-11.6908865,-4.32333
1523256459198,0.30226797,-9.391854,-1.9141643
1523256459213,1.2880806,-8.829217,-2.5276785
1523256459241,1.7848774,-8.590994,-0.15741876
1523256459268,2.285864,-7.3364325,0.33638534
1523256459295,4.1216183,-4.9428296,-1.0307038
1523256459320,1.8866309,-1.0289081,-1.4443022
1523256459346,-0.02633622,-0.6218939,-1.7016789
1523256459370,-0.21308395,-0.8678981,-1.5514427
1523256459394,3.0621839,-1.7561469,-2.2822728
1523256459419,4.663905,-3.9270895,-3.989937
1523256459443,5.3043537,-6.1638722,-3.1010897
1523256459472,6.4589577,-3.198055,-3.445855
1523256459497,2.4654293,-2.529474,-8.41921
1523256459516,7.517793,-15.574881,-4.9799395
1523256459537,6.3500214,-19.6133,-1.5101427
1523256459564,4.357447,-8.815451,-3.7547069
1523256459589,-2.6880898,-3.9653966,-2.9149406
1523256459615,-2.179322,-10.266935,-1.2234371
1523256459639,0.6135142,-16.936583,-0.350152
1523256459664,3.1358056,-14.108432,0.022146367
1523256459689,3.4033577,-9.911995,-0.49440265
1523256459714,3.1453824,-8.66282,0.025139118
1523256459739,2.7473464,-8.104373,-0.19393034
1523256459767,1.9500773,-6.7606273,0.61770403
1523256459782,0.46267948,-6.4206505,0.15622166
1523256459808,0.700304,-6.9491706,-0.12330139
1523256459832,1.3862427,-6.8611836,-0.20530279
1523256459856,1.5837644,-6.777985,-0.32202014
1523256459881,2.7455509,-7.025785,-0.4189853
1523256459907,4.096479,-8.463503,-0.63206923
1523256459931,2.31639,-8.316858,-1.0516531
1523256459956,2.3654714,-7.736264,-2.556409
1523256459981,4.4903255,-9.051878,-1.2898762
1523256460006,3.0041246,-10.542868,-1.5526398
1523256460033,1.7052702,-13.6092415,-2.8670566
1523256460081,0.90740246,-13.546991,-2.8203697
1523256460087,2.8670566,-12.787432,0.60333884
1523256460108,2.677316,-11.549629,-2.0458453
1523256460135,-1.673547,-11.85489,-3.2052376
1523256460162,-2.0991163,-11.440693,-3.555988
1523256460188,-0.32800564,-11.464635,-3.4955344
1523256460215,1.3916297,-11.786655,-3.2082303
1523256460240,3.1196449,-11.638813,-2.5582044
1523256460267,3.6685154,-10.162787,-6.8863225
1523256460300,-2.6563668,-10.971429,-1.6903064
1523256460325,-2.3397336,-10.456676,-2.0913353
1523256460350,0.99060094,-10.827179,-4.3023806
1523256460393,2.983774,-8.655638,-1.8459295
1523256460408,3.1136594,-6.68102,-1.5903485
1523256460426,2.6940753,-6.3667808,-2.344522
1523256460444,2.219425,-5.9412117,-2.3780408
1523256460467,1.216853,-3.582923,-2.2511482
1523256460492,0.19692309,-3.0496144,-1.4820108
1523256460517,0.28670564,-3.1070752,-3.371036
1523256460542,0.82001406,-4.2036195,-4.2383356
1523256460566,1.6460136,-4.423288,-4.050989
1523256460589,3.2243912,-4.654328,-4.2700586
1523256460614,4.6279917,-7.4854717,-5.7963624
1523256460642,5.2822075,-9.516354,-7.211934
1523256460667,3.9965212,-9.645041,-5.988497
1523256460692,3.0544028,-10.916962,-6.005256
1523256460716,0.089184016,-15.405491,-4.545392
1523256460743,-5.282806,-11.950658,0.6805518
1523256460770,-6.245275,-7.6614456,-5.2343235
1523256460794,-0.8702923,-12.162544,-1.5861586
1523256460819,0.23163901,-15.198392,-0.6147113
1523256460844,-1.4993688,-11.128848,0.50397944
1523256460868,-0.5590461,-10.1382475,2.7635074
1523256460893,1.6059108,-10.19092,1.9393034
1523256460917,1.9470845,-10.017939,0.038307227
1523256460942,2.1942859,-9.791686,0.34715924
1523256460969,2.7204118,-8.980052,1.6424223
1523256460993,3.6242228,-8.812458,-0.6727707
1523256461022,2.914342,-8.973468,-1.3120226
1523256461046,3.265691,-7.657854,-0.6667852
1523256461073,5.2983685,-7.9547353,-1.1049241
1523256461099,5.2528787,-8.090606,-0.8655039
1523256461125,4.706402,-8.828619,-2.2990322
1523256461150,3.8953662,-10.280104,-3.1352072
1523256461183,3.6739025,-11.568783,-3.4398694
1523256461209,3.1429882,-12.302007,-3.7098155
1523256461255,2.3127987,-13.712192,-0.760159
1523256461267,0.15502456,-14.857818,-0.6356605
1523256461274,-2.3708582,-16.980875,-6.939594
