timestamp,lin_acc_x,lin_acc_y,lin_acc_z
1523256490332,0.45330143,-4.5977488,0.061372995
1523256500067,-1.9553449,-4.578141,-0.20882595
1523256500079,-5.3054314,-5.114443,-3.361391
1523256500094,-1.9625275,-4.187887,-1.5980616
1523256500099,-1.4385636,-3.8421354,-1.5185663
1523256500102,1.1225743,-4.3959208,0.8035756
1523256500111,1.6024345,-4.4172344,0.1802572
1523256500138,-0.03853202,-3.9679956,-2.4509177
1523256500179,0.18467617,-3.0726347,-0.93455815
1523256500201,0.6908989,-2.2436647,0.08673394
1523256500216,-0.44498485,1.0547838,1.7515616
1523256500229,0.08758974,2.5972419,1.246149
1523256500250,0.61223197,5.296228,0.27017182
1523256500274,1.5985041,5.9420056,0.23425448
1523256500298,0.2893424,6.7198353,0.3304912
1523256500330,-0.82555246,7.1603208,-1.0776229
1523256500350,-0.5806291,6.952407,-0.7976246
1523256500377,0.49495554,5.924566,0.121861696
1523256500404,0.14564037,4.54879,0.6215186
1523256500431,-1.8095536,5.024565,1.3554263
1523256500451,-5.095902,6.555709,0.96372604
1523256500470,-2.608869,2.8715587,-2.5952077
1523256500490,4.9704175,-11.883365,1.6092722
1523256500506,5.3488116,-11.627844,0.7177957
1523256500530,0.06949568,1.1211438,-1.0353544
1523256500557,-6.3382616,3.199216,2.2192905
1523256500584,-5.200427,-2.488882,1.706303
1523256500610,-0.21554399,-4.7047997,1.4229953
1523256500628,1.6897635,-3.9250317,1.1014727
1523256500651,0.22568393,0.05065155,0.89349616
1523256500667,-0.90256,1.9718256,1.0211424
1523256500700,-1.8378,3.0843382,0.11517143
1523256500726,-1.8103747,2.0041528,-0.18128586
1523256500746,-0.7944547,2.0009255,0.5273565
1523256500780,-0.5211779,3.1298494,1.0902545
1523256500806,-0.6706917,3.9136696,1.6517642
1523256500839,-0.22943068,2.715076,0.50946873
1523256500862,1.904804,-0.59508705,-0.15202653
1523256500886,2.6465316,-2.8758821,-0.13934097
1523256500900,1.7344048,-3.662221,-2.3704066
1523256500925,-0.071493864,-3.6372395,-2.2201772
1523256500951,-1.7964047,-4.8220215,-0.019716382
1523256500976,-2.383408,-6.439064,1.0367372
1523256501002,-4.405469,-6.466254,-2.6182976
1523256501028,-2.9041696,-4.8684225,-2.337442
1523256501054,1.188869,-3.6606064,2.3488092
1523256501078,2.5891705,-2.9646006,0.11632103
1523256501105,1.9007095,-2.5856771,-1.9028249
1523256501129,-0.43108374,-0.67528915,-0.2202338
1523256501170,-0.9042983,2.0294724,-0.07118094
1523256501190,-0.32583338,3.112894,0.15308797
1523256501211,0.4147581,4.11605,0.6685533
1523256501234,-0.4616362,6.3351154,1.4217414
1523256501258,0.097501636,6.4153748,-0.116141915
1523256501283,-0.46429598,6.2377725,-0.3876655
1523256501309,-0.55225396,6.950242,-0.2537217
1523256501334,0.26407456,7.89417,-0.41502452
1523256501359,0.7096596,4.2049427,-0.92124104
1523256501386,0.27628708,2.153768,-0.49407482
1523256501411,-0.19314766,4.1772766,0.69816995
1523256505090,3.9206429,-6.8986654,-1.4447658
1523256505115,2.1525245,-11.096299,-2.313861
1523256505141,-2.274169,-0.57055473,2.1810853
1523256505158,-2.2274911,-0.15514374,2.113946
1523256505194,0.12853622,-0.05392456,1.5725682
1523256505203,-0.46188068,-2.4484358,1.2640657
1523256505209,-1.1800694,-4.05881,0.8439535
1523256505216,-0.13440275,-3.623927,1.6065009
1523256505239,-0.644176,-4.852415,2.8588207
1523256505255,-3.242786,-6.7301655,0.54095834
1523256505280,-4.7546463,-6.043275,-0.029483795
1523256505298,-4.0184,-4.4657354,0.7754873
1523256505322,-4.412332,-4.1860876,0.84722763
1523256505351,-2.0502524,-3.8817549,0.9618939
1523256505377,-1.7480187,-4.0465355,-0.6810458
1523256505394,-3.4569707,-4.218834,-0.6630856
1523256505431,-3.8761106,-4.450605,-0.346514
1523256505445,-4.8364224,-3.257996,0.054863214
1523256505468,-4.27425,-2.2490873,0.39184356
1523256505494,-5.801692,-0.9515877,1.4329014
1523256505518,-5.647484,0.5871358,1.4572086
1523256505543,-4.9309416,1.3100982,2.6453626
1523256505568,-4.821152,0.45061207,1.9476346
1523256505594,-5.649867,1.8663259,1.9355522
1523256505610,-5.575841,2.3596175,1.8245573
1523256505635,-3.4460893,2.0814543,1.0298078
1523256505661,-0.057505608,0.84842396,-2.0820017
1523256505680,0.56361103,1.7977502,-1.2436762
1523256505693,-3.241664,4.304766,1.5643301
1523256505720,-3.638836,3.9131322,-2.0926542
1523256505745,0.20835066,-13.684706,1.4567467
1523256505771,2.3329477,-12.278002,-0.21190071
1523256505798,-5.563794,2.2251482,1.02065
1523256505831,-8.8541975,-2.9902892,1.2762637
1523256505873,-3.416142,-6.579863,1.5929686
1523256505892,-1.6946902,-4.7260365,1.8979486
1523256505907,-2.1105382,-1.3187165,1.4962401
1523256505936,-3.4055583,-0.06683588,1.6844133
1523256505964,-3.8716054,0.139534,1.2448245
1523256506005,-4.1315126,0.38597965,0.8294467
1523256506040,-4.066122,1.4327068,0.30458415
1523256506078,-3.353605,2.0723605,0.835915
1523256506094,-2.7287574,1.8842111,1.1586084
1523256506113,-2.4935021,0.84220123,1.0028511
1523256506143,-2.182878,-2.864479,-0.28804886
1523256506171,-1.8665257,-5.283368,-2.3556895
1523256506202,-0.23106647,-5.004734,-0.95046103
1523256506227,-2.0042574,-5.6080837,0.8732285
1523256506253,-5.0670867,-6.719035,-2.3686328
1523256506319,0.25628757,-4.602949,-2.7072258
1523256506343,-1.2522433,-3.1226273,-1.087894
1523256506360,-4.28031,-3.1814613,0.08038199
1523256506395,-5.416194,-3.334931,-1.2211761
1523256506453,-5.4880886,-0.8510041,0.4760579
1523256506458,-5.464722,-0.73743105,1.9490141
1523256506475,-5.0915003,-0.40569258,-0.12649608
1523256506653,-3.605807,1.7315092,1.740975
1523256506672,-4.165452,2.8484044,1.3285737
1523256506688,-1.6445103,1.5683823,-0.9700773
1523256506701,-4.519797,7.888726,2.7072463
1523256506706,0.120233536,-2.6861134,-1.1477284
1523256506743,2.3755941,-12.547704,-3.5833046
1523256506748,-1.7743859,-0.38801575,1.9909945
1523256506788,-4.7383165,1.5028424,0.8099649
1523256506802,-4.011528,-3.3384638,1.4746337
1523256506827,-0.36424804,-5.5246477,0.8113638
1523256506863,1.1297808,-3.1870565,0.9124074
1523256506881,1.1291986,0.45032787,1.1942186
1523256506890,0.31994915,2.2091336,1.0502329
1523256506918,0.0063033104,0.5582714,1.0211333
1523256506934,-0.25348186,0.7024307,1.1047809
1523256506961,-1.5169713,2.779338,1.0406324
