timestamp,lin_acc_x,lin_acc_y,lin_acc_z
1523292623179,0.8739792,5.629181,-0.67403316
1523292623184,1.8573976,-7.402459,-8.515642
1523292623200,1.7897613,-3.9398448,-7.5519757
1523292623218,-0.91269374,-0.30903816,-8.387552
1523292623221,-2.5311742,0.13448787,-10.15567
1523292623232,-0.1889714,1.5366205,-1.294322
1523292623249,-0.36426818,0.3700533,-1.036581
1523292623258,-0.3081169,-1.332314,-1.467773
1523292623280,-0.2518512,-0.15633595,0.5409956
1523292623308,-0.09937596,1.019967,1.9129858
1523292623313,-0.09777379,1.4226673,0.6103935
1523292623336,-0.00970161,0.79862046,-1.2021332
1523292623346,-0.23189962,1.0158794,2.2148867
1523292623372,0.65400386,0.055996418,3.381978
1523292623397,0.49835706,-1.6834099,1.1798534
1523292623429,-0.40692616,-1.5005937,-0.57104015
1523292623453,-0.1058141,0.19142449,0.15684128
1523292623478,-0.5386786,1.2243301,1.4094172
1523292623504,-1.6738998,-0.9009074,1.0295992
1523292623548,-1.0247173,-1.010647,-1.6764326
1523292623574,-0.99983263,0.8777951,-2.546142
1523292623594,-1.1287099,1.9368846,-2.666027
1523292623600,-1.0751641,1.9019008,-2.3686872
1523292623623,-1.2129117,0.7952111,-1.62363
1523292623638,-0.681716,1.3828263,-2.3503695
1523292623663,-0.086263195,1.1859119,-1.8612475
1523292623689,0.35379001,-1.0504072,0.63189125
1523292623715,0.07205805,-0.6288285,0.28224087
1523292623742,-0.71778864,0.29312825,2.3750792
1523292623758,-0.6615097,-0.08872819,1.8258438
1523292623787,-0.0044447333,-0.8882538,1.4810209
1523292623827,-0.0153322965,0.2653725,1.5672092
1523292623839,-1.3693386,-3.0457425,4.2566137
1523292623932,-1.2811981,-3.0504909,4.185029
1523292623941,-1.2796576,-2.4067323,2.331581
1523292623966,-1.162645,-2.4203246,0.71703625
1523292623994,-0.9187342,-2.7539804,0.47613907
1523292624007,-0.4363698,-3.1989727,1.9597645
1523292624034,-0.11999473,-2.9652586,2.1055222
1523292624055,-0.27603778,-2.716087,-0.025047302
1523292624079,-0.25901073,-2.6794655,-1.9819956
1523292624097,-0.8856841,-1.8937488,-2.2692995
1523292624112,-1.003284,-1.639869,-1.7674255
1523292624149,-0.79036814,-1.6201072,-1.4622989
1523292624153,-0.5028191,-1.7311101,-0.9738617
1523292624164,-0.88722235,-1.8129189,0.41120148
1523292624186,-0.9259606,-1.5007999,2.0832348
1523292624213,-0.59818006,-1.6632106,2.5771322
1523292624227,-0.52782744,-2.0922194,2.3520794
1523292624250,-0.77475774,-2.8232136,3.098465
1523292624280,-0.91085774,-1.7338679,3.306447
1523292624303,-1.1507053,-2.1946526,2.94312
1523292624333,-0.118947685,-3.6141334,4.166586
1523292624351,0.35319316,-3.4881802,4.051282
1523292624376,0.14126265,-2.176704,1.1792221
1523292624403,0.19691598,-2.562735,-0.457438
1523292624431,0.096912205,-3.4352686,0.8068266
1523292624450,-0.70950204,-3.069551,2.6035748
1523292624477,-1.2925717,-3.275011,1.8594103
1523292624492,-0.9544078,-3.5695605,0.7713547
1523292624520,-0.6651012,-2.422316,-2.1280608
1523292624543,-1.0911683,-1.9811141,-2.208972
1523292624558,-1.3043311,-1.227463,-1.9407625
1523292624579,-0.8787869,-2.5049484,-1.1979051
1523292624603,0.055799484,-2.255974,-1.6373386
1523292624618,-0.34640354,-2.252417,-1.1952276
1523292624648,-1.4697237,-0.97173977,0.94054604
1523292624671,-0.35913152,-2.2071512,1.197382
1523292624696,-0.7411438,-2.2919044,0.29024696
1523292624726,-1.126334,-1.6389642,1.2461729
1523292624751,-1.0918115,-2.7614644,3.6185155
1523292624780,-1.4719552,-1.5934482,5.4793015
1523292624809,-2.8004675,-1.3748441,4.645109
1523292624833,-2.6850617,-1.8992372,2.742979
1523292624859,-2.661059,-1.2262521,2.531197
1523292624876,-2.432227,-1.1193223,1.4055028
1523292624902,-2.9677448,-2.3969493,2.4172373
1523292624928,-2.1773713,-1.8392079,3.9645805
1523292624954,-1.2379497,-2.5208893,2.2666788
1523292624979,-0.35893357,-2.5558984,-0.0062007904
1523292625004,-0.9305465,-1.7269571,-1.2697158
1523292625029,-1.6509318,-1.1482611,-1.5567613
1523292625061,-1.890556,-0.8862374,-1.7871995
1523292625258,-1.1649725,-0.76281786,-1.4429116
1523292625264,-1.173874,-1.3577108,0.11125088
1523292625270,-1.2086194,-1.7232842,0.8800993
1523292625276,-1.310255,-1.0527208,1.2067375
1523292625280,-0.76015234,-1.4641838,0.74201775
1523292625286,-0.532501,-2.3928075,1.2701597
1523292625322,-0.27889287,-1.0715036,2.0599098
1523292625338,0.5776048,-3.814701,3.4817133
1523292625388,0.7669064,-2.6204634,1.9965878
1523292625423,0.11791909,-1.9804369,0.46195316
1523292625429,-0.23571837,-1.6159904,-0.083621025
1523292625434,-0.13589525,-2.1551542,0.10562706
1523292625438,-0.7094255,-2.4257412,1.6404238
1523292625469,-1.0496389,-2.372272,1.4401884
1523292625531,-1.0804878,-1.9187442,-0.8932924
1523292625537,-1.2222468,-1.3383744,-1.9122157
1523292625572,-1.0879362,-1.0543594,-1.499145
1523292625590,-0.61157745,-1.1342382,-1.3232698
1523292625628,-0.3577357,-1.2858717,-1.1785483
1523292625637,-0.25985062,-1.6174068,0.64640427
1523292625661,-0.39280295,-1.4663227,1.2657461
1523292625687,-0.559961,-1.5600355,1.5891857
1523292625717,-1.0647334,-1.6921792,1.5494051
1523292625722,-0.9666971,-2.482494,2.0896425
1523292625750,-1.2499354,-1.0028243,2.154109
1523292625780,-2.1110964,-1.8733878,3.2406502
1523292625801,-1.5349376,-2.6409912,4.201288
1523292625830,-1.1050422,-2.015911,3.0824099
1523292625851,-1.1979276,-1.2752945,0.5611944
1523292625879,-0.9227464,-1.8262463,0.3479929
1523292625900,-0.68937474,-2.4845448,0.68810654
1523292625937,-0.61804116,-2.3956282,0.40159225
1523292625963,-0.774143,-2.0460653,-0.017107964
1523292625975,-0.70566535,-1.8471313,-1.2256646
1523292626001,-0.80940676,-1.273237,-1.8728356
1523292626029,-0.89391387,-0.8757372,-2.2130532
1523292626062,-0.9899085,-0.8734057,-1.252151
1523292626077,-0.89089966,-1.1460781,-0.14601612
1523292626102,-0.62910724,-1.3857319,0.52506447
1523292626130,-0.83468,-1.0291436,1.0480976
1523292626161,-0.9308405,-0.40919352,1.5722437
1523292626201,-0.41009235,-1.1281655,1.5625381
1523292626206,0.11722469,-2.704903,2.1848955
1523292626233,-0.13423002,-0.5492077,1.494379
1523292626263,-0.27238023,-1.5322442,1.4712362
1523292626296,0.713948,-2.6405394,2.0670576
1523292626305,0.54430366,-1.4097317,1.7526302
1523292626332,-0.04261613,-0.1906414,-0.18753815
1523292626361,-0.36329007,-1.0428606,-0.3213129
1523292626395,-0.23225296,-2.5177374,1.5850458
1523292626430,-0.50147223,-2.3494391,1.0060043
1523292626468,-1.4195361,-1.5542223,-0.31450176
1523292626473,-1.0918287,-1.0973969,-0.89024067
1523292626497,-0.79331183,-0.8917234,-0.70265007
1523292626528,-0.5354112,-1.0627465,-1.0555763
1523292626561,-0.40987486,-0.7250712,-1.7624197
1523292626569,-0.44046545,-0.81083584,-0.5746126
1523292626602,-0.45140028,-0.8959961,0.42389774
1523292626648,-0.30773932,-0.7453153,1.1636219
1523292626658,-0.4210856,-0.53916335,1.1146698
1523292626700,-0.34695423,-0.69099164,0.40204334
1523292626727,-0.33151352,-1.3717217,1.7466345
1523292626779,-0.23965895,-0.40625477,2.711216
1523292626787,-0.9207969,-0.69581246,2.5826359
1523292626798,-0.46831048,-1.4704375,2.4124231
1523292626843,-0.77254975,-1.2169464,1.5738611
1523292626850,-1.306244,-0.33884788,-0.0015821457
1523292626857,-1.359855,-0.13701439,-1.0170221
1523292626901,-0.96728694,-0.8894279,-1.1546488
1523292626911,-0.61646044,-1.8860091,0.050497055
1523292626958,-0.619452,-1.6160848,0.8597889
1523292626963,-0.7990781,-1.3561926,0.77877426
1523292627028,-0.6896461,-1.032788,-0.59953976
1523292627031,-0.45731074,-1.0277464,-1.5814443
1523292627092,-0.42879313,-0.56588745,-1.1776819
1523292627101,-0.47158617,-0.2728939,-0.67825603
1523292627108,-0.58743197,-0.3808446,0.15604973
1523292627113,-0.6431356,-0.059220314,0.6954689
1523292627159,-0.761429,-0.026916027,0.96001244
1523292627164,-0.87588173,-0.042295456,1.1407747
1523292627218,-0.6448784,-0.7215929,1.2923565
1523292627226,0.0949018,-0.67849827,2.0782957
1523292627273,-0.005383849,0.7929623,1.5239086
1523292627278,-0.054010987,-0.63786125,1.3105984
1523292627296,0.58868456,-1.9200329,1.5418339
1523292627355,0.55237675,-1.2566735,1.3972092
1523292627361,-0.11804664,0.09720731,-0.65123653
1523292627366,-0.14224625,-0.090973616,-1.3515501
1523292627413,0.17291617,-1.4568323,-0.03599739
1523292627419,-0.19980621,-1.7634052,1.3727655
1523292627476,-0.59986335,-1.4665489,1.373847
1523292627481,-0.83823496,-1.1518402,0.019493103
1523292627488,-0.73358965,-0.64914227,-1.4428754
1523292627535,-0.57851666,-0.1621387,-2.3149195
1523292627544,-0.3327297,0.15217328,-2.2991662
1523292627615,0.03978692,0.10645604,-1.37995
1523292627623,-0.11937919,-0.39122653,0.018173218
1523292627626,-0.22628039,-0.47966766,1.286459
1523292627673,-0.3087598,-0.072300196,1.299757
1523292627677,-0.4082812,-0.086640835,1.5413542
1523292627726,-0.27907842,-0.47050214,1.6063395
1523292627736,0.019808054,-0.7759006,1.9823608
1523292627785,-0.8452648,0.49165726,1.7701521
