timestamp,acc_x,acc_y,acc_z
1523292639883,1.0791864,-12.227787,2.011728
1523292639889,3.875614,-10.397419,-0.9151836
1523292639895,0.2220622,-7.138911,0.26635495
1523292639930,-1.5777789,-7.0425444,1.0456676
1523292639938,-0.16280572,-8.911818,0.5351041
1523292639981,0.18555063,-9.002797,0.8170213
1523292639991,-0.48003745,-7.905654,1.7555484
1523292640047,-0.44651863,-8.305486,1.5107412
1523292640053,0.19632454,-9.603742,-0.38486794
1523292640058,1.6741456,-8.947132,-1.6190789
1523292640106,1.2348095,-10.34355,1.5987282
1523292640110,2.6354175,-11.978191,-0.034715924
1523292640156,4.5926776,-11.692084,0.2813187
1523292640161,2.7670987,-11.6430025,-0.2681506
1523292640206,1.9865888,-13.094487,1.4867992
1523292640219,2.4833858,-13.016078,-1.1246762
1523292640257,-2.846706,-12.142793,0.8451532
1523292640271,-2.066196,-13.745112,2.1080947
1523292640314,-1.7417817,-17.114353,0.08798691
1523292640320,-4.8494554,-16.948553,-1.721431
1523292640323,-3.4871547,-13.942634,-0.7727286
1523292640363,0.3441665,-11.802815,0.03232172
1523292640408,2.8844144,-9.693524,2.0649989
1523292640413,1.2198458,-4.753089,1.7459716
1523292640450,-2.1039047,-3.193865,-0.20649989
1523292640456,-2.4103625,-2.2882583,-1.264737
1523292640488,-1.1899183,-0.61112,-0.08140286
1523292640492,0.7284359,-0.077213004,-0.15502456
1523292640533,2.7114334,-1.8267759,-3.25372
1523292640573,6.849811,-7.5710645,-8.950723
1523292640577,7.934983,-18.28452,-5.4791307
1523292640609,1.5622166,-19.39064,-9.651027
1523292640642,6.1501055,-8.474277,-6.799533
1523292640646,6.518214,0.18674773,-5.4911017
1523292640690,-9.115324,-14.219164,5.7706246
1523292640695,-3.1022868,-19.6133,-3.0951042
1523292640726,-0.7308301,-3.323152,-3.7343562
1523292640775,-1.939902,-2.7659016,6.361394
1523292640783,-2.291251,-14.06354,4.1252093
1523292640827,4.666898,-18.280329,1.0510546
1523292640831,4.3161473,-8.004415,-0.676362
1523292640870,-0.7673417,-4.76506,0.40282443
1523292640876,-0.80564886,-8.119336,0.59376204
1523292640908,0.5153519,-10.128072,-0.013766659
1523292640937,-0.3561375,-7.153276,1.887828
1523292640970,0.3309984,-7.2089415,0.9792285
1523292640975,2.1015105,-9.193136,-0.6631939
1523292641007,2.303222,-8.977658,-0.17357962
1523292641043,1.2258313,-11.319786,1.2605472
1523292641059,2.3930047,-12.419323,0.23463176
1523292641097,3.5075054,-11.425729,1.2354081
1523292641101,1.9722236,-12.334329,-0.9720459
1523292641135,3.0232782,-14.66688,0.45669398
1523292641166,3.0867245,-12.590508,0.3633201
1523292641171,-2.4905684,-12.0649805,0.7697359
1523292641202,-0.985214,-14.627974,1.353921
1523292641233,-1.4736311,-16.430807,0.60932434
1523292641264,-3.5673606,-16.063896,-2.1942859
1523292641297,-1.2904748,-13.183672,-0.6254852
1523292641301,1.4137762,-11.232397,0.20590134
1523292641349,3.0310593,-8.564658,1.99437
1523292641355,0.023942016,-2.8299465,1.4975731
1523292641388,-2.3918076,-1.721431,0.074220255
1523292641397,-1.8902222,-1.8327614,-0.635062
1523292641441,-0.61411273,-0.50996494,-0.79726917
1523292641447,0.6841431,-0.50996494,-2.7048495
1523292641484,3.2028434,-3.2082303,-6.9000893
1523292641516,8.249222,-12.80838,-4.3807907
1523292641553,4.5160627,-19.6133,-9.601347
1523292641557,3.3117795,-15.214553,-8.787917
1523292641605,7.1329255,-1.7250223,-6.479907
1523292641610,0.3788824,-12.150574,0.2669535
1523292641651,-5.031415,-17.483658,8.746617
1523292641655,-1.5598224,-5.3318872,-7.6069775
1523292641697,-0.46387658,-3.2237926,0.23523031
1523292641703,-1.5316905,-11.559804,7.33344
1523292641740,4.035427,-17.88289,1.122282
1523292641747,4.518457,-9.441534,-0.700304
1523292641786,-0.12090719,-4.59567,0.39384618
1523292641818,-1.043872,-6.8109055,2.3888147
1523292641837,0.7745243,-10.445304,1.3599066
1523292641872,-0.06584055,-8.958505,1.1587936
1523292641878,-1.365892,-7.399879,1.2192472
1523292641910,0.5650316,-9.504382,-0.23463176
1523292641941,2.4145525,-8.013991,-0.86490536
1523292641949,1.8722657,-9.937134,1.353921
1523292641979,2.533664,-12.039842,0.2861071
1523292642011,5.4114943,-10.89661,1.7345991
1523292642045,5.450999,-10.810419,-0.5781997
1523292642050,3.3997664,-12.054806,2.8030117
1523292642083,2.8407204,-13.606248,-2.343325
1523292642103,-3.632004,-12.430097,-0.3645172
1523292642139,-3.775656,-14.277224,1.3305776
1523292642147,-0.3549404,-17.16044,-0.39205053
1523292642178,-3.496133,-18.126501,-2.4612393
1523292642212,-2.8526914,-14.761451,-1.429937
1523292642244,0.7320272,-12.241553,-0.5686229
1523292642277,3.3554738,-9.844358,1.1731589
1523292642282,2.0638018,-5.100847,1.5759833
1523292642314,-0.8475474,-2.3666685,0.45130703
1523292642324,-2.0530279,-2.078167,-0.7553706
1523292642357,-1.4478935,-1.7375919,-0.6979098
1523292642406,0.12689269,-0.9463082,-0.374094
1523292642411,2.3642743,-1.3036429,-1.6232687
1523292642457,6.0423665,-5.029021,-6.9485717
1523292642465,8.447941,-13.587094,-4.088698
1523292642501,6.3769565,-19.082985,-8.322245
1523292642505,0.9032126,-17.979258,-11.281479
1523292642541,5.465364,-3.2507274,-6.8749504
1523292642575,3.0951042,-7.1867948,-4.3634324
1523292642581,-7.994838,-19.6133,9.800665
1523292642614,-3.3889925,-8.378509,-5.139154
1523292642632,-0.5057751,-3.1411927,-4.4502225
1523292642668,-1.1109096,-8.500014,6.3781533
1523292642672,1.0324994,-16.40926,3.1124623
1523292642707,5.183447,-12.1840925,-0.4890157
1523292642739,3.080739,-7.3190746,-0.56203884
1523292642772,0.107739076,-6.0980315,0.65780693
1523292642777,0.60214174,-8.152257,1.496376
1523292642808,1.6196774,-9.583989,0.8858546
1523292642841,0.010773907,-7.419631,1.3108255
1523292642871,-0.5057751,-7.268198,1.673547
1523292642876,0.79128367,-10.144233,0.2789245
1523292642924,1.5801731,-9.355343,-1.2904748
1523292642928,2.0500352,-9.753978,1.1420342
1523292642960,2.2505496,-12.000338,-0.17238252
1523292642971,4.912902,-11.771092,1.3533225
