timestamp,acc_x,acc_y,acc_z
1523423834245,-2.5288756,-11.233594,-1.0366893
1523423834309,2.60968,-0.7302315,-2.7449522
1523423834340,7.037756,-3.7104142,-7.1365166
1523423834358,9.634866,-17.458519,-1.2485762
1523423834385,3.6858735,-19.6133,-13.072341
1523423834409,7.880515,-7.513005,-8.924985
1523423834448,1.1707647,1.6753427,0.04309563
1523423834485,-11.444284,-19.6133,8.76996
1523423834492,-5.507861,-17.035343,-8.590396
1523423834511,-5.391144,-0.46686932,-9.548675
1523423834536,-2.8898015,-4.5142674,6.279991
1523423834561,1.3186066,-18.417397,6.5361705
1523423834587,9.729437,-14.335282,-1.1438298
1523423834612,2.693477,-5.21936,0.50278234
1523423834637,-1.8710686,-5.1481323,0.6194997
1523423834661,-1.9806033,-10.683527,1.4550761
1523423834686,-2.534861,-10.451289,-0.08020575
1523423834709,-3.176507,-8.420407,0.6123171
1523423834736,0.9379285,-9.247005,0.24361002
1523423834761,3.341707,-7.569867,1.2132617
1523423834782,3.457826,-9.027936,0.98341835
1523423834806,3.0627825,-11.216236,-0.45789108
1523423834830,3.810372,-11.7627125,2.8975825
1523423834856,7.824251,-10.540473,0.8355764
1523423834880,6.4487824,-9.898229,1.4574703
1523423834906,0.7386112,-10.952275,-1.3251907
1523423834928,-1.0073603,-13.090897,-4.8500543
1523423834952,-2.3600843,-11.358093,-0.9935937
1523423834979,0.8367735,-16.190788,-2.9496565
1523423835003,0.46507367,-15.986683,-3.1681273
1523423835029,-0.81163436,-13.669096,-2.8766334
1523423835052,1.2599486,-11.742362,-1.3305776
1523423835077,2.6144683,-9.704897,-1.2258313
1523423835104,1.8776526,-6.9318123,-0.85173726
1523423835129,0.6512229,-5.355231,-0.31783026
1523423835152,0.7032967,-4.9721584,-1.0390835
1523423835176,0.5303157,-1.2575544,-1.525705
1523423835200,1.5029601,1.3628993,-0.12389994
1523423835225,2.9622262,-0.32321724,-0.7679402
1523423835250,5.12838,-2.9299042,-3.8863878
1523423835281,7.65965,-13.655928,-3.5296519
1523423835299,4.720767,-19.6133,-8.207922
1523423835325,1.3844471,-11.948862,-7.3346367
1523423835350,5.463568,-1.2354081,-1.4239515
1523423835374,-1.0696096,-4.7429137,1.4185646
1523423878098,-4.537611,-15.364191,-1.532289
1523423878109,-1.0133458,-6.851607,-5.2199583
1523423878114,5.3324857,-15.952566,-4.7842135
1523423878120,-1.3024458,2.4115596,2.5450363
1523423878131,-4.7788267,-8.644265,8.07265
1523423878156,6.4924765,-18.656218,2.4851813
1523423878172,7.6590514,-12.014104,-0.4249708
1523423878197,-0.55006784,-2.0242975,1.6759412
1523423878220,-4.787805,-4.9536033,1.7914615
1523423878247,-1.9482816,-9.1033535,1.4083891
1523423878275,-0.55844754,-10.357317,-0.39504328
1523423878300,2.2559366,-10.117896,-0.039504327
1523423878327,7.4363904,-6.4505777,1.400608
1523423878354,4.734534,-11.146805,0.6871359
1523423878381,5.988497,-12.818556,3.755904
1523423878407,7.15986,-11.39221,-0.23642741
1523423878435,3.9989154,-8.813056,4.820725
1523423878454,1.9734207,-11.793838,-4.185065
1523423878480,-4.5100775,-15.228918,0.5542577
1523423878503,-0.533907,-19.6133,-1.6711528
1523423878537,-2.1751323,-19.6133,-3.0430303
1523423878557,-1.0450691,-13.616424,-2.9233203
1523423878585,3.2626984,-10.729016,-1.2617443
1523423878613,1.685518,-7.571663,0.6404489
1523423878637,0.14664486,-4.6297874,1.2437878
1523423878662,-1.520318,-1.9273324,1.3377602
1523423878688,-0.5530606,0.6841431,1.0761937
1523423878713,-1.1779473,3.5021186,-1.1923125
1523423878738,0.85772276,1.9901801,-3.2986114
1523423878765,9.973047,-6.870162,-6.241684
1523423878789,8.06427,-19.6133,-8.751406
1523423878814,3.9875429,-18.075026,-12.235568
1523423878852,6.063316,1.6448165,0.641646
1523423878878,-8.066664,-9.882666,1.258153
1523423878892,-9.970055,-19.6133,3.8774097
1523423878918,0.53929394,-5.9837084,-6.510433
1523423878942,-3.1669302,0.7152678,2.2577322
1523423878968,-1.809418,-11.501146,5.2504845
1523423878993,5.0397944,-18.901026,2.8832173
1523423879018,4.0037036,-8.35337,0.60333884
1523423879045,-1.7106571,-3.1184478,1.1300632
1523423879069,-1.0714053,-7.368156,1.1240777
1523423879094,0.10235212,-9.537901,1.8596961
1523423879119,1.1761516,-8.588001,1.484405
1523423879150,0.83378077,-8.450933,-0.8900445
1523423879172,4.933253,-7.897873,0.85652566
1523423879197,5.886145,-11.201273,1.1593921
1523423879221,8.300098,-11.466431,0.88405895
1523423879246,4.796783,-11.114483,-0.7182605
1523423879271,3.5649664,-10.181941,0.5093664
1523423879296,-3.3554738,-12.710218,2.9670146
1523423879321,-1.5077485,-19.6133,0.7661445
1523423879346,-2.891597,-19.6133,-2.1481974
1523423879372,-4.7961845,-19.296068,-5.0308166
1523423883085,3.839701,-11.289858,-0.93972415
1523423883117,2.6719291,-7.7608047,1.7441759
1523423883133,6.211158,-2.3307555,-5.192425
1523423883196,9.449316,-12.376825,-3.8522706
1523423883213,5.97892,-19.6133,-6.699575
1523423883232,4.887164,-17.220894,-8.276755
1523423883236,8.08462,-2.143409,-2.5145104
1523423883245,-1.5771804,-5.9705405,1.9285295
1523423883251,-14.056956,-19.6133,2.0787656
1523423883261,0.3681085,-19.6133,-4.6399627
1523423883277,-3.4219127,-2.4169466,-7.9116397
1523423883294,-2.3133974,1.7836803,4.1683054
1523423883319,3.0412347,-16.941969,6.5966244
1523423883343,10.433332,-15.978304,4.9548006
1523423883377,2.8389246,-3.594894,-0.06404489
1523423883393,-1.5508442,-4.5723267,0.09995792
1523423883419,0.3184288,-9.022549,1.3575124
1523423883443,0.5291186,-9.251195,1.299453
1523423883467,-0.34715924,-9.259575,-1.407192
1523423883492,1.0576386,-10.532692,-3.0669725
1523423883516,7.249643,-8.4347725,3.6098576
1523423883540,5.5509567,-11.949461,-1.073201
1523423883564,4.39336,-12.675503,1.192911
1523423883589,6.8342485,-10.854712,1.276708
1523423883616,4.2820296,-10.588956,3.4530375
1523423883641,3.12982,-13.292009,-2.2200236
1523423883668,-8.857349,-14.851831,0.94810385
1523423883701,-2.4995465,-16.927006,-0.17597382
1523423883718,-1.3054385,-19.6133,-1.8423382
1523423883742,0.4201824,-16.11178,-1.5562311
1523423883766,3.426701,-12.879608,-1.4293385
1523423883791,2.6168625,-8.3821,1.2940661
1523423883817,1.3084313,-5.019444,1.83336
1523423883842,-1.3700819,-2.6318262,0.45190558
1523423883866,-1.484405,-0.35075054,0.05566519
1523423883893,-0.23104046,2.4522612,-0.10354923
1523423883916,1.3928268,1.8243817,-1.4808137
1523423883940,5.507861,-0.39983168,-6.059126
1523423883976,13.244125,-12.1811,-2.516306
1523423883993,5.674258,-19.6133,-13.032837
