timestamp,lin_acc_x,lin_acc_y,lin_acc_z
1523423834311,-4.0251436,1.1263012,4.2337856
1523423834350,0.62614584,-0.9733825,-0.23939562
1523423834361,3.180192,-10.856093,2.0552912
1523423834387,-0.57045364,-11.867937,-8.822233
1523423834411,3.7271128,-0.06084442,-4.0891857
1523423834464,-3.7317708,8.476644,5.130123
1523423834487,-13.905268,-10.547359,11.5846815
1523423834494,-5.4411774,-7.449459,-6.5223575
1523423834512,-4.25675,8.489897,-5.7198477
1523423834538,-1.0380534,4.7379775,8.95158
1523423834563,2.7443306,-8.715551,6.6452694
1523423834589,9.098365,-4.5490665,-1.0980203
1523423834614,1.3330753,4.49221,0.57424366
1523423834638,-2.8706908,4.607415,0.59847003
1523423834663,-2.3293064,-0.88890934,1.1170489
1523423834690,-2.3993435,-0.647748,-0.28659928
1523423834712,-2.3905823,1.3488541,0.2743024
1523423834739,1.6162097,0.5314884,-0.05866787
1523423834763,3.2656972,2.225318,0.74532473
1523423834786,2.6799064,0.73101425,0.4106059
1523423834809,1.822511,-1.4957848,-0.83860016
1523423834834,2.202633,-2.1179762,2.1461587
1523423834862,5.3177557,-1.0969896,-0.0061403513
1523423834886,3.2152164,-0.6764612,0.63683254
1523423834908,-2.292365,-1.645936,-1.9380713
1523423834930,-3.2409906,-3.5434322,-4.6850843
1523423834955,-3.7456307,-1.6658907,-0.43515664
1523423834981,-0.22844183,-6.4682817,-2.236505
1523423835023,-0.45703885,-6.284667,-2.076804
1523423835031,-1.4138641,-3.9643965,-1.6012832
1523423835054,0.64765775,-2.0420208,-0.027168036
1523423835082,1.7326529,-0.023327827,0.06258714
1523423835108,0.7509353,2.7290964,0.40035546
1523423835130,-0.5169615,4.3099093,0.8614889
1523423835154,-0.47120792,4.6904554,0.15458393
1523423835177,-0.7067471,8.360576,-0.065690875
1523423835202,-0.104993224,10.902016,1.4854888
1523423835227,0.49640536,9.00038,1.0098825
1523423835252,1.3778112,5.7368727,-1.2424111
1523423835284,3.2952533,-5.2858934,-0.8716514
1523423835310,0.9877238,-11.011721,-5.336053
1523423835326,-1.48211,-3.228016,-3.8849878
1523423835369,1.9562931,7.148699,2.2606301
1523423878092,-4.3356347,3.856463,4.8177085
1523423878100,-4.936023,-5.6079817,-0.62232435
1523423878106,-1.4117578,2.9046025,-4.3099937
1523423878116,3.614634,-6.8671675,-1.5169659
1523423878122,-3.2099047,11.476807,5.762691
1523423878133,-6.844521,0.5968447,10.623173
1523423878160,4.9250026,-9.178178,4.454997
1523423878173,6.312151,-2.4582243,1.3190005
1523423878199,-1.5383435,7.656769,2.8886428
1523423878227,-5.224167,4.8193355,2.4767773
1523423878250,-1.844738,0.69955444,1.6587399
1523423878277,-0.026818871,-0.5653858,-0.47157714
1523423878306,3.1356022,-0.35557365,-0.34551615
1523423878329,8.564973,3.281993,0.98372036
1523423878357,6.0184927,-1.4368792,0.1980645
1523423878383,7.3884773,-3.123332,3.2943022
1523423878409,8.575354,-1.6954851,-0.6110136
1523423878438,5.1975284,0.91781616,4.6113324
1523423878456,2.9711835,-2.038146,-4.22186
1523423878482,-4.076126,-5.4360447,0.84009266
1523423878505,-0.66782624,-9.830213,-1.0050731
1523423878539,-2.9349751,-9.912585,-1.8227131
1523423878559,-2.4320636,-4.059366,-1.2176508
1523423878587,1.2653307,-1.3592749,0.83321595
1523423878614,-0.8979449,1.5660858,3.0894666
1523423878639,-2.8559372,4.274643,4.0484333
1523423878664,-4.7676497,6.780456,4.468207
1523423878690,-3.8439503,9.269077,4.487839
1523423878715,-1.2460976,13.307529,-1.3325831
1523423878740,0.7810174,11.733966,-2.1926463
1523423878767,6.8696246,1.8721647,-3.0619235
1523423878791,4.0669885,-11.056903,-6.1094
1523423878816,-0.088070154,-9.596818,-9.464329
1523423878855,2.1978848,9.700306,4.683664
1523423878880,-10.493141,-1.128994,4.953534
1523423878894,-12.4051485,-10.620936,6.9397817
1523423878919,0.45955348,3.5545425,-4.233198
1523423878944,-2.6754372,10.180094,4.7768364
1523423878969,-0.8860045,-1.7891436,6.2478285
1523423878994,5.0866427,-9.095083,2.9912431
1523423879020,3.1159365,1.4127378,0.5298904
1523423879046,-2.4142559,6.657,0.7895286
1523423879070,-1.3391236,2.4244514,0.67289805
1523423879097,-0.03522607,0.24497986,1.1913389
1523423879128,0.8435161,1.165514,0.5207175
1523423879152,0.36486197,1.3259935,-1.4918761
1523423879174,3.7995503,1.8236456,0.24237227
1523423879198,3.7878118,-1.6377077,0.6066013
1523423879223,5.2737217,-2.1700373,0.11691284
1523423879248,1.4214063,-1.9248543,-1.2909389
1523423879272,0.16780376,-1.0055742,-0.14175946
1523423879298,-5.7070303,-3.2071571,2.3904722
1523423879322,-2.8044872,-9.912751,0.14308977
1523423879348,-3.6195998,-9.834689,-2.2866113
1523423879374,-4.672082,-9.499936,-4.594019
1523423883091,3.8922634,-1.4841108,-0.81751287
1523423883112,2.7244916,2.0449424,1.8663871
1523423883150,4.60536,7.257722,-3.9067636
1523423883211,6.027788,-3.4439983,-1.6916835
1523423883219,2.7273755,-10.673421,-4.3170586
1523423883233,2.022552,-8.366782,-5.1833644
1523423883237,4.3200293,6.308896,0.7346101
1523423883249,-5.4037523,2.543634,4.934618
1523423883256,-16.781034,-10.533629,4.5906143
1523423883274,0.56313646,-9.972754,-2.8532882
1523423883287,-2.9255788,7.0704184,-5.47978
1523423883296,-1.0748531,11.249249,6.413163
1523423883320,3.577813,-7.156477,6.9524336
